십이월,December,,,十二月,,525
기숙사,dormitory,,,寄宿舍,,526
어둡다,"to be dark<div><img src=""dark.jpeg"" /></div>",,,,,635
중국어,Chinese (language),,,中國語,,528
바로,right there;<br>directly,,,,,529
생선,fish (for eating),,,生鮮,,530
연습하다,"to practice, train",,,練習,[sound:topractice.mp3],531
데,"spot, place",,,,,532
하루,"(one) day, 24 hours",,,,,533
외국어,foreign language,,,外國語,,541
빠르다,"to be quick, fast",,,,[sound:tobefast.mp3],535
반지,ring,,,斑指,,536
쇼핑,shopping,,,,[sound:shopping.mp3],537
노랗다,to be yellow,,,,,538
밖,the outside,,,,[sound:outside.mp3],539
만화,comic book,,,漫畵,,540
사실,"fact, truth",,,事實,,534
출근하다,to go (get) to work,,,出勤,[sound:togotowork.mp3],542
언제나,always;<div>usually</div>,,,,,543
건강,health,,,健康,[sound:health.mp3],544
높다,to be high;<div>to be noble</div>,,,,,545
그냥,just;<div>without any special reason</div>,,,,,546
지난주,last week,,,--週,,547
컵,cup,,,,,548
계속하다,to continue,,,繼續,,549
휴가,vacation (in general),,,休暇,,550
방금,a moment ago,,,方今,,551
학년,school year,,,學年,[sound:schoolyear.mp3],552
벌다,"to earn (money)<div><img src=""make-money.png"" /></div>",,,,,553
전,"before, prior to",,,前,,554
색깔,color,,,色-,[sound:color.mp3],555
신발,"shoes, footwear",,,,,556
잊다,to forget,,,,,557
설탕,sugar,,,雪糖·屑糖,,558
함께,"together, in company with",,,,,559
